OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
1259566,HEILBRONN CHARLES,-0.13,0.05,0.42,-0.11,0.10,0.28,-0.09,0.24,0.37,-0.02,-0.05,0.14,-0.04,-0.19,0.04,4192991.512,83859830.24,20,1,ULTA,Consumer Discretionary,Large Cap,2017,2019,2
1260096,ATKINS M SHAN,0.50,1.20,1.24,0.23,0.49,0.62,0.37,0.56,0.68,0.27,0.71,0.62,0.13,0.64,0.56,74997,74997,1,1,DRI,Consumer Discretionary,Large Cap,2020,2020,1
1261141,BURZIK CATHERINE M,0.03,0.08,0.11,0.03,0.08,0.13,0.10,0.10,0.13,0.01,0.00,-0.03,-0.07,-0.02,-0.02,27524.3,82572.9,3,1,BDX,Health Care,Large Cap,2018,2019,2
1261238,PRESTON MARGARET M V,0.21,0.40,0.58,0.22,0.45,0.56,0.27,0.57,0.58,-0.01,-0.05,0.02,-0.06,-0.18,0.00,481.935,4819.35,10,1,OTIS,Industrials,Large Cap,2020,2020,1
1262163,MORGAN CURTIS A,0.07,0.24,0.26,0.11,0.10,0.07,0.01,0.12,0.10,-0.04,0.13,0.18,0.06,0.12,0.15,260016.5338,2080132.27,8,1,VST,Utilities,Large Cap,2017,2021,3
1262866,WEBSTER WILLIAM M IV,0.10,-0.04,0.07,0.09,0.18,0.23,0.06,0.13,0.18,0.01,-0.22,-0.16,0.04,-0.17,-0.11,75850,75850,1,1,LKQ,Consumer Discretionary,Large Cap,2016,2016,1
1262878,BONADIO TOM,0.14,0.50,0.66,0.27,0.56,0.75,0.28,0.67,0.71,-0.13,-0.06,-0.09,-0.14,-0.17,-0.05,99973.5,99973.5,1,1,PAYX,Industrials,Large Cap,2020,2020,1
1263149,VALERIANI NICHOLAS J,-0.14,-0.32,-0.24,-0.15,-0.14,-0.12,-0.01,0.04,-0.04,0.01,-0.18,-0.12,-0.13,-0.36,-0.20,168345,168345,1,1,EW,Health Care,Large Cap,2021,2021,1
1263157,LAPERCH WILLIAM G,2.28,2.91,2.52,0.11,0.15,0.10,-0.03,0.02,0.07,2.17,2.76,2.42,2.31,2.89,2.45,30000,30000,1,1,DLR,Real Estate,Large Cap,2017,2017,1
1263228,VACHON LOUIS,0.11,0.14,0.20,0.03,0.07,0.04,0.03,0.05,0.06,0.08,0.06,0.16,0.08,0.08,0.14,121980,243960,2,1,TAP,Consumer Staples,Large Cap,2020,2021,2
1263346,PASSERINI FILIPPO,0.12,0.11,0.66,0.10,0.05,0.21,0.05,-0.04,0.13,0.02,0.06,0.45,0.07,0.15,0.53,219220,438440,2,1,URI,Industrials,Large Cap,2015,2019,2
1263508,BAKER BROS. ADVISORS LP,0.12,0.51,0.36,0.02,0.06,0.13,0.05,0.06,0.11,0.11,0.45,0.23,0.08,0.45,0.25,5387455.991,560295423.1,104,1,INCY,Health Care,Large Cap,2016,2022,5
1263739,THULIN INGE G,-0.21,-0.23,-0.18,0.06,0.13,0.22,0.05,-0.09,-0.03,-0.27,-0.36,-0.40,-0.26,-0.14,-0.15,50097.69,50097.69,1,1,CVX,Energy,Mega Cap,2016,2016,1
1265177,Moniz Ernest J,-0.07,0.04,0.01,0.15,0.47,0.63,0.11,0.18,0.19,-0.22,-0.43,-0.62,-0.18,-0.14,-0.18,191520,191520,1,1,SO,Utilities,Large Cap,2020,2020,1
1266395,KISSAM LUTHER C IV,0.01,0.05,0.32,0.02,0.01,0.04,0.03,0.01,0.10,-0.01,0.04,0.28,-0.02,0.04,0.22,144794.4175,579177.67,4,2,ALB,Materials,Large Cap,2015,2021,2
1267117,HOLIFIELD MARK,0.08,0.41,-0.05,0.15,0.29,0.02,0.10,0.25,-0.16,-0.07,0.12,-0.07,-0.02,0.16,0.11,22083.81,22083.81,1,1,HD,Consumer Discretionary,Mega Cap,2020,2020,1
1267320,PORTEOUS DAVID L,-0.01,-0.23,-0.33,-0.13,-0.05,-0.01,-0.11,-0.10,-0.11,0.12,-0.18,-0.32,0.10,-0.13,-0.22,43869.6,43869.6,1,1,HBAN,Financials,Large Cap,2022,2022,1
1267621,Zinterhofer Eric Louis,-0.01,0.08,-0.31,0.08,0.10,0.30,0.25,0.40,0.76,-0.09,-0.02,-0.61,-0.26,-0.32,-1.07,1453514.936,10174604.55,7,1,CHTR,Communication Services,Large Cap,2022,2022,1
1267958,WEBB CARL B,-0.31,-0.22,0.04,-0.08,-0.05,0.05,-0.10,-0.02,0.11,-0.23,-0.17,-0.01,-0.21,-0.20,-0.07,229702.5,229702.5,1,1,PLD,Real Estate,Large Cap,2015,2015,1
1268386,BILBREY JOHN P,0.94,1.47,1.45,0.18,0.34,0.42,0.18,0.25,0.39,0.76,1.14,1.03,0.76,1.22,1.06,149410.8667,448232.6,3,1,TPR,Consumer Discretionary,Large Cap,2020,2020,1
1268406,BURKE JAMES A,0.10,0.39,0.73,0.10,0.14,0.15,0.04,0.05,0.06,0.00,0.25,0.58,0.06,0.34,0.68,244757.7776,4160882.22,17,1,VST,Utilities,Large Cap,2017,2023,6
1268489,WICHMANN DAVID S,0.00,0.12,0.27,0.00,-0.06,0.07,0.04,0.07,0.11,0.00,0.18,0.20,-0.04,0.05,0.16,2842650,5685300,2,2,BSX,Health Care,Large Cap,2019,2021,2
1269088,BERRY MICHAEL J,0.11,0.19,0.01,0.10,0.19,0.03,0.07,0.28,0.06,0.01,0.00,-0.01,0.03,-0.09,-0.05,659275,1318550,2,1,NTAP,Information Technology,Large Cap,2020,2022,2
1269707,BROOKS MARTHA,-0.16,0.07,0.65,-0.20,-0.16,-0.04,-0.25,-0.25,0.05,0.04,0.23,0.69,0.09,0.32,0.60,190890,190890,1,1,JBL,Information Technology,Large Cap,2021,2021,1
1269873,AMATO THOMAS A,0.13,0.27,0.10,0.06,0.13,0.05,0.08,0.16,-0.14,0.07,0.14,0.05,0.05,0.11,0.24,146280,146280,1,1,AME,Industrials,Large Cap,2018,2018,1
1269892,EKHOLM BORJE,-0.14,-0.05,0.09,-0.01,-0.02,0.03,0.04,-0.02,0.10,-0.13,-0.03,0.06,-0.18,-0.03,-0.01,251800,251800,1,1,TRMB,Information Technology,Large Cap,2015,2015,1
1269971,LIVERIS ANDREW N,3.48,3.08,3.58,0.26,0.40,0.26,0.25,0.46,0.29,3.22,2.68,3.32,3.23,2.62,3.29,299802.6,299802.6,1,1,IBM,Information Technology,Mega Cap,2020,2020,1
